,adapter,advertised,affordable,air,amazing,amazon,antenna,apple,audio,awesome,backup,bad,bag,bang,basic,batteries,battery,beat,best,better,big,bit,black,bluetooth,bought,box,brand,buck,built,buy,cable,cables,camera,canon,car,card,case,charge,charger,charging,charm,cheap,choice,class,clear,comfortable,compact,computer,connection,convenient,cool,cooler,cord,cost,cover,customer,deal,decent,described,design,device,devices,did,didn,digital,disappointed,does,doesn,don,drive,drives,durable,dvd,ear,easy,effective,exactly,excellent,expected,expensive,external,extra,failed,fan,fantastic,far,fast,features,filter,finally,fine,fit,fits,flash,functional,galaxy,garmin,gb,gets,gift,good,got,gps,great,handy,happy,hard,hd,hdmi,headphones,headset,heavy,high,highly,home,hub,impressed,inch,inexpensive,install,ipad,iphone,ipod,issues,item,job,junk,just,keyboard,kindle,kit,laptop,large,lens,life,light,like,little,logitech,long,look,looking,looks,lot,lots,love,low,mac,macbook,make,makes,media,memory,micro,mini,mm,modem,money,monitor,months,mount,mouse,mp,music,need,needed,needs,new,nexus,nice,nikon,ok,okay,old,outstanding,pay,pc,perfect,perfectly,performance,phone,picture,piece,play,player,pleased,plug,poor,port,portable,power,pretty,price,pro,problem,problems,product,protection,protector,ps,purchase,quality,quick,quiet,quite,radio,range,read,real,really,recommend,recommended,reliable,remote,replacement,review,right,roku,router,samsung,sandisk,say,says,screen,sd,seagate,second,service,set,setup,short,signal,simple,simply,size,slow,small,smart,software,solid,solution,sony,sound,space,speaker,speakers,speed,ssd,stand,stars,storage,streaming,strong,sturdy,stylus,super,support,supposed,sure,switch,tablet,tb,terrible,thing,time,tiny,touch,travel,tripod,tv,unit,update,upgrade,usb,use,used,useful,using,value,ve,video,wall,want,wanted,way,wd,wifi,windows,wireless,wish,wonderful,work,worked,working,works,worth,wow,wrong,year,years
10,0,5,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,5,3,0,0,0,0,3,2,1,1,0,2,0,0,6,2,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,13,2,0,0,0,0,0,0,1,2,2,13,8,1,0,0,0,0,1,2,0,0,57,0,6,3,2,0,0,0,0,0,1,2,62,0,0,51,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,8,1,4,0,0,1,0,0,14,1,2,9,3,0,0,2,0,0,0,0,3,3,0,0,1,0,0,0,0,0,17,0,4,0,0,0,0,0,0,1,0,3,2,0,11,1,4,1,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,7,1,0,0,3,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,13,1,1,0,1,1,0,0,0,1,0,0,1,5,0,0,43,1,0,1,0,0
11,0,8,6,1,4,6,0,0,0,4,1,7,0,0,9,0,0,7,5,6,2,0,0,0,5,0,5,1,1,13,0,0,23,14,0,0,1,0,0,0,1,28,2,0,6,0,0,0,0,0,0,0,0,6,6,1,9,6,2,0,0,0,4,3,1,0,69,2,12,1,0,1,0,0,5,3,4,24,9,9,0,1,0,0,2,6,2,0,279,0,14,19,14,0,2,0,0,0,3,1,181,5,0,174,0,2,3,0,0,0,0,0,4,1,2,0,0,0,11,0,0,0,0,4,7,39,5,22,0,0,3,0,0,173,0,2,10,3,0,1,0,1,1,1,0,9,5,0,0,0,4,0,0,2,0,52,0,5,0,0,0,0,0,0,11,10,3,5,0,38,6,10,2,1,0,9,0,36,9,3,0,1,5,0,0,1,0,5,0,0,1,0,73,0,4,4,47,149,29,0,5,41,2,0,0,0,0,0,2,6,0,3,1,0,1,5,11,0,0,0,0,8,1,0,0,0,1,2,0,0,0,0,8,0,5,1,0,0,0,8,1,2,0,0,0,0,0,0,0,15,0,0,0,2,0,4,0,10,2,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,14,1,4,2,19,0,0,0,2,2,3,0,0,0,0,1,2,4,1,0,60,12,0,6,0,0
12,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,3,4,6,1,2,0,3,0,0,0,0,3,0,0,0,0,1,0,64,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,4,0,0,0,0,0,0,5,0,0,1,0,4,27,0,1,1,4,13,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,39,0,0,41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,2,1,8,3,0,1,0,0,0,1,2,7,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,3,2,2,2,1,0,19,0,1,3,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,15,0,0,0,3,8,0,0,0,0,0,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,15,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,1,1,0,0,1
13,0,0,3,0,13,0,0,0,0,8,0,3,4,4,2,0,0,0,29,4,1,0,0,0,2,1,0,3,0,12,0,0,3,0,0,0,0,0,0,0,0,9,1,1,1,0,1,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,1,2,0,1,1,6,0,0,0,0,0,1,1,0,26,3,0,0,0,0,0,13,1,12,0,0,0,1,1,0,1,0,0,0,0,0,0,23,0,0,81,0,3,1,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,200,0,14,0,7,0,2,1,1,1,1,0,11,18,0,0,3,0,0,0,0,0,24,0,11,0,1,1,0,0,0,4,1,1,2,0,10,40,3,0,1,4,2,0,9,0,2,0,1,1,0,0,0,0,0,0,1,0,1,37,3,1,0,2,0,0,0,1,9,0,1,0,0,0,2,1,5,0,1,0,0,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,15,1,0,0,1,0,2,0,0,0,0,0,2,2,0,1,10,3,1,4,0,0
14,0,1,0,1,0,1,0,0,0,3,0,4,0,1,4,0,0,0,17,3,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,15,0,0,1,0,0,0,3,0,0,0,2,3,0,4,0,0,0,0,0,0,2,1,2,0,0,4,0,7,0,0,0,10,1,0,0,0,1,0,0,2,1,0,0,1,2,8,0,0,0,0,0,0,1,0,34,1,0,50,0,0,2,0,0,47,3,0,2,0,0,0,0,0,4,0,1,1,2,0,1,3,0,6,0,1,0,0,0,0,0,9,2,3,0,1,1,0,0,0,0,8,1,0,0,1,1,0,0,0,0,0,0,3,0,2,0,0,0,1,3,2,1,1,0,6,0,2,0,0,1,1,0,14,1,0,0,0,0,0,0,0,1,0,0,1,0,1,17,0,1,1,8,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,2,0,2,0,0,0,0,14,25,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,5,2,0,0,5,1,0,0,0,1,0,0,0,0,0,1,1,8,1,3,2,1,2,1,1,5
15,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,20,9,1,0,0,0,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,1,1,4,0,0,0,0,0,5,0,1,7,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,17,1,0,23,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,2,2,23,1,0,0,0,0,1,15,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,47,0,0,4,1,0,0,0,4,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,14,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,12,6,0,4,0,6,0,0,0,1,2,0,0,0,0,1,3,2,1,0,4,1,0,1,0,9
16,0,12,2,0,1,1,0,0,3,4,0,4,0,0,2,0,0,4,3,8,1,0,0,0,0,0,2,0,1,9,40,1,0,0,1,0,0,0,0,0,0,16,2,0,1,0,0,0,0,0,0,0,1,4,0,1,7,6,4,0,0,0,5,1,0,0,11,0,2,0,0,1,0,0,7,1,6,15,13,1,0,1,0,0,3,2,1,0,0,0,12,1,0,0,0,0,0,0,3,0,168,3,0,152,0,1,1,0,0,0,0,3,11,0,9,0,0,0,3,1,0,0,0,2,1,13,0,13,0,0,0,0,2,0,0,1,4,2,0,2,0,0,1,5,1,2,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,6,5,1,0,0,26,0,5,2,1,0,2,0,16,3,4,0,0,0,1,0,0,0,0,0,0,1,2,72,0,1,4,35,0,0,0,1,75,0,0,0,1,1,1,1,1,1,0,1,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,1,2,2,0,3,0,1,0,0,0,0,4,1,0,10,0,134,9,0,0,0,6,0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,17,2,0,0,2,1,1,0,0,0,0,0,0,3,5,1,58,2,1,1,0,1
17,0,0,1,0,15,0,0,0,3,8,0,3,0,0,0,0,0,2,21,8,0,2,0,0,2,1,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,16,1,0,0,0,0,0,0,1,0,1,0,4,0,0,1,1,0,1,0,1,2,0,0,0,1,0,2,0,0,12,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,2,0,54,0,2,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,6,1,0,0,0,0,0,1,0,3,3,5,2,1,0,0,2,0,4,2,0,0,1,0,4,0,0,0,0,0,5,0,1,0,1,1,3,0,1,1,2,0,4,0,1,1,2,4,0,7,7,0,2,0,0,2,0,1,0,1,4,0,0,3,5,6,4,1,1,0,0,0,0,0,14,0,0,1,0,0,2,1,2,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,64,0,13,59,0,0,0,3,0,0,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,7,6,0,0,1,0,0,0,0,0,0,1,2,1,0,1,2,4,7,0,0,5
18,1,0,4,0,5,0,0,0,0,6,0,1,0,2,0,0,0,2,17,8,8,2,0,0,2,1,2,2,1,9,1,1,0,0,1,0,0,0,0,0,0,5,1,0,4,16,0,1,0,0,1,0,6,1,0,0,6,6,0,0,0,0,1,2,0,0,0,1,3,0,0,2,0,6,0,0,0,29,2,1,0,0,2,1,4,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,62,0,0,119,0,0,0,14,0,85,2,1,1,0,1,0,4,0,4,0,0,0,3,0,1,0,0,5,0,0,0,0,2,0,1,0,5,7,0,8,1,1,0,0,1,5,2,0,0,0,1,0,0,0,0,0,0,22,0,2,0,0,0,0,0,1,0,0,0,11,0,5,1,1,3,2,0,8,0,1,0,0,0,0,0,3,1,5,0,1,0,5,74,0,0,0,10,0,0,0,1,29,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,10,0,0,3,1,2,68,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,7,1,0,0,29,1,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,5,1,1,1,3
19,0,0,0,0,9,2,0,0,1,2,0,0,0,2,0,0,0,0,24,6,5,1,0,0,2,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,1,0,0,0,0,0,1,0,0,1,0,5,0,0,1,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,11,0,1,0,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,38,0,0,57,0,1,1,9,0,67,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,4,0,0,5,1,1,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,1,2,4,2,2,0,0,0,10,0,0,0,1,3,1,1,5,0,1,1,0,0,0,1,2,0,3,0,0,0,1,17,4,0,0,5,0,0,0,1,15,0,0,1,0,0,0,1,5,2,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,3,48,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,2,1,0,3,6,7,1,0,0,1,1,0,0,0,0,1,2,3,0,0,0,2,2,2,3,5
